FID IID Height
1859 1528 0.27449000712103
130 1529 -1.32389771174874
3266 1530 0.542123849546554
963 1531 -1.02429109238176
3027 1532 -0.267933160927508
3027 1533 NA
3706 1534 -0.746341568356231
3901 1535 1.60848289796317
4001 1536 -0.228706748837118
2127 1537 -0.43728915012118
473 1538 -1.39580330039681
3469 1539 -1.90145385514125
1860 1540 -0.159254958975329
131 1541 0.459019211735414
1321 1542 1.67636425660174
2791 1543 0.159645805119537
1714 1544 -0.0208960783335363
1229 1545 0.662751712904958
3968 1546 -0.533078601198293
4042 1547 -1.05071342071741
3707 1548 -1.40778756517149
1322 1549 0.310442801445068
1323 1550 0.0629937750892174
3267 1551 -1.58986297099959
650 1552 NA
650 1553 -0.226207584181953
964 1554 0.423066417411376
3486 1555 -0.250363844178565
3268 1556 -1.18008653445259
3268 1557 NA
1317 1558 0.382348390093142
3381 1559 0.511721503828327
1861 1560 NA
1861 1561 0.0659922729572887
965 1562 1.05133484420551
2792 1563 2.02145413628115
